doi,count
10.3390/nu13061754,6
10.3390/plants10061036,0
10.11646/phytotaxa.501.1.2,1
10.11646/phytotaxa.500.3.1,0
10.1016/j.ecoinf.2021.101317,1
10.1186/s43008-021-00063-1,53
10.1111/gcb.15623,11
10.3897/biss.4.58982,0
10.3897/biss.4.59089,1
10.3897/biss.4.59274,1
10.11646/zootaxa.4965.2.9,0
10.1002/ece3.7392,6
10.1111/nph.17298,47
10.1002/ece3.7411,1
10.1109/BigData50022.2020.9377737,0
10.1109/IMCOM51814.2021.9377417,0
10.7554/eLife.63870,7
10.3853/j.2201-4349.71.2019.1700,3
10.1016/j.ecoser.2021.101280,4
10.11646/zootaxa.4966.1.7,1
10.3897/BDJ.9.e65023,13
10.7882/AZ.2021.012,2
10.1386/jem_00041_1,2
10.1071/WR20154,28
10.7751/telopea14820,0
10.1071/AM20036,0
10.1080/01584197.2020.1857651,5
10.1111/evo.13207,35
10.1016/j.jnc.2020.125792,5
10.1111/1365-2435.12047,37
10.1038/srep12398,34
10.1111/aen.12278,8
10.1101/200352,2
10.1007/s12526-016-0580-4,13
10.1111/ddi.12214,52
10.1098/rspb.2016.2588,12
10.1071/Mf14331,8
10.1371/journal.pone.0141976,21
10.1016/j.revpalbo.2017.07.001,8
10.3390/d8020007,16
10.1016/j.palaeo.2013.03.019,40
10.1371/journal.pone.0136275,14
10.3853/j.2201-4349.68.2016.1668,4
10.1093/aobpla/plw009,9
10.31646/wa.298,0
10.1093/biolinnean/blx054,7
10.1007/s10530-013-0492-1,40
10.3354/meps12165,34
10.1093/botlinnean/box010,44
10.1111/1365-2664.13006,7
10.1111/aec.12035,23
10.1071/wr16134,4
10.1016/j.ufug.2020.126771,27
10.1002/fedr.201800004,5
10.1002/fedr.201800033,2
10.1080/13658816.2013.871725,0
10.1371/journal.pone.0201962,2
10.1093/aob/mcv084,52
10.1016/j.palaeo.2015.01.030,15
10.1080/14486563.2016.1251345,5
10.1016/j.scitotenv.2015.01.089,25
10.1186/1471-2148-13-105,3
10.1016/j.foreco.2017.10.024,11
10.1111/aec.12032,21
10.1111/evo.13541,17
10.1186/s40657-016-0044-3,10
10.11646/zootaxa.3821.2.4,0
10.1071/Is14021,1
10.1111/nph.13291,66
10.1007/s10021-016-0059-y,22
10.11646/phytotaxa.358.2.2,3
10.1016/j.revpalbo.2017.03.001,7
10.1016/j.revpalbo.2017.01.006,7
10.1002/ece3.3246,4
10.1038/srep43386,83
10.7554/eLife.22089,29
10.1007/s10531-018-1546-6,8
10.1186/s41200-016-0027-4,28
10.7882/az.2015.021,0
10.1111/jvs.12190,269
10.1086/690008,38
10.1071/BT16044,10
10.1111/ddi.12678,50
10.1186/s12862-016-0861-3,19
10.1038/s41598-018-30778-y,8
10.5070/BS3182022486,2
10.1038/ncomms4994,59
10.1111/nph.13076,54
10.1016/j.quascirev.2013.11.007,35
10.1371/journal.pone.0144779,30
10.5091/plecevo.2015.1048,4
10.7717/peerj.723,9
10.1111/nph.13700,18
10.1371/journal.pone.0150899,8
10.1371/journal.pone.0084222,28
10.18195/issn.0312-3162.28(1).2013.001-006,2
10.7751/telopea20148280,6
10.1111/wre.12021,26
10.3897/zse.92.7469,1
10.1111/gcb.13277,14
10.1600/036364417x696140,10
10.1111/mec.13511,39
10.1093/aobpla/plw080,2
10.1371/journal.pone.0189635,8
10.1016/j.palaeo.2013.12.035,31
10.1111/jeb.13297,4
10.1002/eap.1782,18
10.1017/S0960258518000090,11
10.1371/journal.pone.0202073,5
